GS,G,MP,FG,FGA,Two_Pt,Two_PtA,Three_Pt,Three_PtA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Field_Goal_Pct,Two_Pt_Pct,Three_Pt_Pct,effective_Fg_PCt,FT_PCt,TS_PCt,PER,Three_Pt_Att,FTr,Off_Rbd_Pct,Def_Rbd_Pct,Total_Rbd_Pct,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,OWS,DWS,WS,WS_Per_forty_eight,OBPM,DBPM,BPM,VORP,Rising_Star
-0.697077088,-0.697992232,-1.090827887,-0.909235893,-0.949316651,-0.900896515,-0.818168743,-0.621631256,-0.74144651,-0.658036179,-0.501294614,-0.595722549,-0.621858981,-0.674785777,-0.819731839,-1.375545442,0.413243997,-0.703260974,-0.775271421,-0.869573271,-0.320067872,-0.87935042,1.127287341,-0.284562217,-2.112515226,-0.452566257,-0.527675063,-0.378884721,0.541402995,-0.151886223,0.581453028,0.308647879,-0.963125291,-1.10860191,2.293909392,0.104053376,-0.370282193,-0.778592966,-0.916925492,-0.676568821,-0.708086394,-0.714624635,-0.471082455,-0.708148762,-0.046908698,-0.551515242,-0.554948149,0
-0.652427026,0.424656449,-0.245613123,-0.107250768,0.008036605,-0.383462419,-0.312073879,0.602627243,0.62059251,-0.172415681,-0.112193536,-0.718407791,-0.568479686,-0.674785777,0.278222415,-0.039301298,-0.64615626,-0.001397706,-0.550309344,-0.046544552,-0.320067872,-0.229739004,0.144681487,-0.071189583,0.255173136,-0.005681894,0.077675836,0.764777175,-0.261445511,-0.578186379,-0.741874648,-0.801734065,0.994419075,0.079525389,-0.7666477,-0.11733314,0.47187948,-0.156998347,-0.278111232,-0.394517524,-0.220595571,-0.32559327,-0.052146913,0.148378294,-0.188382469,0.093209602,-0.19674716,0
2.964228056,1.707683514,1.71329639,1.853157315,2.092939252,1.16883987,1.392666715,2.507029352,2.349334344,1.145697099,0.999523831,-0.227666823,-0.248203912,-0.278303126,1.980051509,0.406113416,-0.434276208,1.987214888,0.799463115,1.938407064,-0.16766794,-0.374097097,0.472216772,0.07105884,0.390469614,0.143279561,0.293872585,0.256482999,-0.366164882,-0.669536412,-1.104911444,-1.095658698,1.159982529,-0.47959334,-0.7666477,-0.210548515,0.9672687,0.091639501,0.360703027,1.25078171,0.429392192,1.068435789,0.067548955,0.464634438,-0.612803782,0.220040719,0.949496002,0
1.044275358,1.159724038,1.027180876,0.917508002,0.944115344,0.910122822,0.780025564,0.466598521,0.725364743,0.451953531,0.499251016,1.367241322,1.086278478,1.267979215,0.113529277,0.406113416,0.625124049,-0.001397706,0.574501038,0.824897621,0.137131924,0.203335272,-0.182853798,0.07105884,-0.286012775,0.068798833,0.40197096,-0.082379785,0.017806143,0.396213978,0.616585621,0.684218243,-0.310610502,-0.200033975,0.164826198,-0.187244671,0.042542156,0.340277348,0.14776494,0.921721863,0.916883015,1.036016509,0.366788628,0.280151687,-0.011540255,0.251748498,0.591295014,0
-0.697077088,-0.297046275,-0.862122716,-0.686462247,-0.800395033,-0.486949238,-0.525166454,-0.8936887,-1.003377091,-0.519287465,-0.501294614,0.63112987,-0.301583208,-0.00076527,-0.545243275,-0.70742337,-0.222396157,-0.586283763,0.012095847,-0.692057273,0.441931788,0.05897718,-0.182853798,0.07105884,-0.353661014,0.143279561,0.35873161,-1.395473074,0.0527126,1.568539406,0.82738118,1.451688116,-0.300871475,-0.269923817,0.297893897,0.057445688,-0.568437881,0.38171699,-0.916925492,-0.347508974,-0.545589453,-0.422851111,0.366788628,0.016604901,-0.117645583,0.008655524,-0.340027556,0
-0.652427026,-1.112303055,0.748757189,-0.330024414,0.284605324,-0.590436058,-0.445256738,0.466598521,1.511156485,0.03570739,0.054564069,-0.595722549,-0.141445321,-0.238654861,-0.270754712,0.851528131,-0.434276208,-0.937215397,1.474349344,-0.14337146,-1.31066743,-0.807171374,-0.182853798,-1.138052752,0.05222842,-1.048412074,-0.8843997,1.230713503,1.064999847,-0.258461262,0.405790062,-0.197555654,0.867811728,0.918203483,-0.5448682,-0.163940827,-0.717054647,-0.778592966,0.360703027,-0.629560271,-0.708086394,-0.714624635,-1.368801472,-0.734503441,0.271407287,-0.519807463,-0.411667753,0
-0.116626273,0.585034832,0.520052017,0.293741794,0.476075975,-0.073001961,0.140747841,1.010713409,0.830136975,-0.172415681,-0.334537009,-0.595722549,-0.301583208,-0.397247921,0.882097255,0.406113416,-0.222396157,0.232556717,0.124576885,0.292349626,-0.320067872,-0.301918051,0.406709715,-0.071189583,0.66106257,-0.080162621,-0.149330751,0.680061479,-0.470884252,-0.715211429,-0.659898597,-0.834392358,0.565901901,-0.200033975,-0.101309201,-0.362023499,0.339775688,-0.074119064,0.14776494,-0.394517524,0.266895251,-0.163496867,-0.052146913,-0.022927117,-0.011540255,-0.023052255,-0.340027556,0
-0.697077088,-1.539978744,1.653634172,0.070968149,0.561174042,-0.124745371,0.114111269,0.466598521,1.092067556,-0.241790038,0.110149938,1.367241322,-0.781996868,-0.119710065,-0.380550137,-1.375545442,-0.858036311,-0.118374917,2.599159726,0.066420174,-0.9296676,-0.734992328,-0.510389083,-0.782431696,-1.774274031,-0.89945062,-1.176265312,0.468272239,-0.366164882,0.015588838,-1.503080834,-0.99768382,-0.943647237,-1.318271434,-0.899715399,-0.734884999,-1.014288179,-0.612834401,0.7865792,-0.582551722,-0.870583335,-0.714624635,-0.590778324,-0.708148762,-0.860382881,-0.794608216,-0.483307951,0
-0.592893609,0.518210506,-0.255556826,-0.330024414,-0.374904697,-0.486949238,-0.578439597,0.194541077,0.149117465,-0.241790038,-0.278951141,-0.718407791,-0.408341799,-0.555840982,-0.545243275,-0.484716013,-0.010516105,-0.35232934,-0.325347268,-0.256336187,0.060931958,0.203335272,0.275695601,0.284431474,0.05222842,0.366721742,-0.224999614,0.637703631,-0.156726141,-0.547736368,-0.039222785,-0.377176263,-0.64173741,-0.339813658,0.120470298,0.173964907,-0.452847063,0.05019986,0.14776494,-0.394517524,-0.139347101,-0.35801255,-0.052146913,0.016604901,0.059196631,0.061501823,-0.268387358,0
-0.652427026,-0.537613849,-0.931728637,-0.686462247,-0.736571483,-0.538692648,-0.605076169,-0.621631256,-0.689060394,0.105081746,0.054564069,-0.963778275,-1.048893346,-1.031620164,-0.380550137,-0.484716013,-0.858036311,-0.469306551,-1.225195574,-0.530679093,0.137131924,0.05897718,-0.117346741,-6.54E-05,0.119876659,0.441202469,0.293872585,-0.505958265,1.13481276,-0.760886446,-1.104911444,-1.111987844,0.371121367,0.289194913,-0.7222918,-0.05907353,0.30674974,0.215958425,-0.278111232,-0.441526073,-0.708086394,-0.520108952,0.247092759,0.082491598,-0.188382469,0.040363304,-0.340027556,0
