Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
24,0,22,0,0.6,1,0.38,0.5,0.45,0.47,0.24,0.48,3.8,0.3,7.2,16.4,17.6,87,106,0
24,1,50,0.6,0.1,1.2,0.47,0.35,0.8,0.53,0.51,0.25,23.9,2,0.3,14.5,22.7,102,109,0
25,82,82,0.8,0.2,2.4,0.45,0.4,0.82,0.55,0.39,0.22,25.6,1.2,0.3,13.7,25.7,108,112,0
20,39,68.33333333,0.8,0.7,2.2,0.53,0.3,0.72,0.54,0.31,0.33,10.5,1.6,2.4,13.9,20.1,114,111,0
25,0,32,0.3,0.3,1.7,0.51,0.3,0.71,0.55,0,0.34,10.6,1.5,2.7,16,16.4,115,106,0
22,1,11.66666667,1,0.2,3,0.39,0.3,0.77,0.39,0.62,0.63,22.6,3.2,0.8,14.1,15.5,87,112,0
22.5,13,54,0.8,0.3,1.8,0.46,0.39,0.86,0.52,0.49,0.19,19.5,1.6,1.8,12.4,21.9,104,111,0
31,0,1,0,0,4,0.4,0.25,0.5,0.41,0.44,0.22,4,0,0,9.2,13.7,91,114,0
25,2.333333333,52.33333333,0.4,0.4,1.4,0.53,0.37,0.77,0.58,0.48,0.28,7.1,1.4,2.3,17,17.1,107,111,0
25,1,26,0.4,0,0.6,0.51,0.31,0.78,0.59,0.21,0.65,17.5,2.3,0.4,15,21.7,111,109,0
21,0,11,0.4,0,1.5,0.46,0.4,0.5,0.54,0.54,0.14,5,1.7,0,6.3,12.1,115,114,0
25,0,31,0.1,0.1,0.5,0.42,0.24,0.63,0.42,0.25,0.09,11.3,0.6,0.6,10.2,18.3,92,108,0
22,2,27,0.3,0.1,1.5,0.57,0.3,0.69,0.51,0.63,0.17,6.2,1.3,0.9,8,12.5,105,118,0
20,1,6,0,0,1,0.56,0.2,1,0.49,0.36,0.07,13.4,0,0,6.5,18.5,98,115,0
24,8,34,0.6,0.4,2.8,0.51,0.28,0.74,0.51,0.28,0.35,8.9,3,4.4,18.7,23.1,103,112,0
26.33333333,78.16666667,78.16666667,0.9,1.5,2.8,0.56,1,0.8,0.59,0.3,0.32,23.6,1.5,3.6,14.1,22.2,121,105,1
26,46,75,0.6,0.5,2.7,0.48,0.36,0.73,0.52,0.05,0.31,7.1,1.1,1.3,11.7,19,104,112,0
21,35.33333333,74.33333333,1.2,0.7,2.1,0.49,0.32,0.77,0.52,0.35,0.31,7.8,2.4,2.1,18.3,17.3,101,108,0
29,12,17,0.3,0.2,2.1,0.38,0.39,0.85,0.52,0.43,0.24,9.5,0.6,0.5,13.7,18.6,99,110,0
24,0,20.66666667,1,0.7,2.7,0.52,0.3,0.67,0.55,0,0.58,16.3,3.4,6,24.2,22.6,113,106,0
